region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,positive_area_pct,positive_nuclei_pct,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression,relative_dir,file,source_image,image_path
28,27,15,7,6,27,38886,3459,8.9,100.0,53.57,25.0,21.43,3,3,9,high,0,DNMT3A_2083_block1.jpg_x2304_y1792.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x2304_y1792.jpg
30,28,21,5,4,28,35022,4441,12.68,100.0,70.0,16.67,13.33,3,3,9,high,0,DNMT3A_2083_block1.jpg_x2304_y2048.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x2304_y2048.jpg
15,15,9,5,1,15,12189,2216,18.18,100.0,60.0,33.33,6.67,2,3,6,high,0,DNMT3A_2083_block1.jpg_x2304_y512.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x2304_y512.jpg
38,31,29,6,3,31,34580,6025,17.42,100.0,76.32,15.79,7.89,2,3,6,high,0,DNMT3A_2083_block1.jpg_x2304_y768.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x2304_y768.jpg
25,25,19,5,1,25,30288,3175,10.48,100.0,76.0,20.0,4.0,2,3,6,high,0,DNMT3A_2083_block1.jpg_x2560_y1280.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x2560_y1280.jpg
25,26,18,5,2,26,30465,3776,12.39,100.0,72.0,20.0,8.0,2,3,6,high,0,DNMT3A_2083_block1.jpg_x2560_y1536.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x2560_y1536.jpg
45,35,39,4,2,35,26850,5768,21.48,100.0,86.67,8.89,4.44,2,3,6,high,0,DNMT3A_2083_block1.jpg_x256_y1024.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x256_y1024.jpg
49,47,35,10,4,47,39695,8081,20.36,100.0,71.43,20.41,8.16,2,3,6,high,0,DNMT3A_2083_block1.jpg_x256_y1280.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x256_y1280.jpg
50,40,36,5,9,40,33872,4929,14.55,100.0,72.0,10.0,18.0,3,3,9,high,0,DNMT3A_2083_block1.jpg_x256_y1536.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x256_y1536.jpg
26,21,22,3,1,21,16731,2441,14.59,100.0,84.62,11.54,3.85,2,3,6,high,0,DNMT3A_2083_block1.jpg_x256_y1792.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x256_y1792.jpg
23,16,19,1,3,16,13806,2876,20.83,100.0,82.61,4.35,13.04,3,3,9,high,0,DNMT3A_2083_block1.jpg_x256_y768.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x256_y768.jpg
58,43,42,9,7,43,43530,6720,15.44,100.0,72.41,15.52,12.07,3,3,9,high,0,DNMT3A_2083_block1.jpg_x512_y1024.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y1024.jpg
56,43,37,13,6,43,46967,8042,17.12,100.0,66.07,23.21,10.71,2,3,6,high,0,DNMT3A_2083_block1.jpg_x512_y1280.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y1280.jpg
61,50,49,7,5,50,45058,7796,17.3,100.0,80.33,11.48,8.2,2,3,6,high,0,DNMT3A_2083_block1.jpg_x512_y1536.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y1536.jpg
50,34,39,6,5,34,42396,7534,17.77,100.0,78.0,12.0,10.0,2,3,6,high,0,DNMT3A_2083_block1.jpg_x512_y1792.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y1792.jpg
35,31,29,3,3,31,32800,5344,16.29,100.0,82.86,8.57,8.57,2,3,6,high,0,DNMT3A_2083_block1.jpg_x512_y2048.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y2048.jpg
26,20,16,7,3,20,22727,2958,13.02,100.0,61.54,26.92,11.54,2,3,6,high,0,DNMT3A_2083_block1.jpg_x512_y512.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y512.jpg
50,44,35,9,6,44,45216,6971,15.42,100.0,70.0,18.0,12.0,3,3,9,high,0,DNMT3A_2083_block1.jpg_x512_y768.jpg,DNMT3A_2083_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_2083_block1.jpg_x512_y768.jpg
